mechanism,n,student_index,deploy_pool_gas,deploy_verifier_gas,update_root_gas,verify_gas,verify_onchain_ms,withdraw_gas,withdraw_ms,root,nullifier
offchain,100,90,968565,,149571,,,64667,36.584600,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x1ffa4b43df0ebdd3ee42d239d257a50661527b4cf5ae8932a11f5252e70b8b96
offchain,100,91,968565,,149571,,,64667,35.836100,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x148b56db826ba5641ca92b0148d1e0af500af419263e17c2facff36afad254b6
offchain,100,92,968565,,149571,,,64667,61.323700,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x11506480d6e17cc79dd9efb1ad0a647b97709f81f5c23e14a39ca07c1d4e35e1
offchain,100,93,968565,,149571,,,64655,25.161900,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x3ac532e93c29abc617508239dbeb4f852911fd6455c518ef70807000603bad1c
offchain,100,94,968565,,149571,,,64667,64.837800,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x39ab1e99e948e1f2d68f3633ee79c1606e868aa3c2c9b681437f0ae4cce41626
offchain,100,95,968565,,149571,,,64667,34.464900,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x3013619309a0ffcbf079a39e364dd75f33c7397ea0f3502207493fdbd5504866
offchain,100,96,968565,,149571,,,64667,25.301200,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x2708b5dc286205ce646e36bf3eda32d7ee115061e2d3e120ddd53a0c1b129a93
offchain,100,97,968565,,149571,,,64667,42.020400,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x38c218f917faba7567388b317349202a612ec8ba0bc4c9aea0cfd29220aaf7d7
offchain,100,98,968565,,149571,,,64667,56.070000,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x1eb45d18abf9f0f0b95ea87c72e21bf7bf246e421827c986ca1cd159cbbe109c
offchain,100,99,968565,,149571,,,64667,53.765300,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x17f1e23d705c16c09af150360b712cd0268ce6726720abd7da60d0c63ab6629e
